id,status,source
Michiel Coxie,apprentice,
Philips Vermeulen,master,
Michiel Raes,master,
Fernand De Baulx,apprentice,
Toussaint De Viennoen,master,
Abraham Van der Schriecke,master,
Baptist Gilgodt,master,
Antoon Boot,apprentice,
Adam Geeraerts,master,
Herman Lesterbos,apprentice,
Peter Heldenwiele,master,
Sebastiaen Vranckx,master,
Hendrick Carel Van Daele,apprentice,
Floris Van Coudenbergh,master,
Judocus Du Prenne,apprentice,
Christoffel Van Conincxloo,master,
Nicolaes Marius,apprentice,
Johan Hermans,master,
Cesar Portiers,master,
Jan Baptist Van Boechout,apprentice,
Alonso Samora,apprentice,
Peter Meerynen,master,
Peter Boerie,master,
Jan De Reyf,master,
Huybrecht Corsyns,master,
Matthys Van Helmont,apprentice,
Peter Bedet,master,
Thomas De Clerck,master,
Theodoor De le Roist,apprentice,
Rombout Van Avont,master,
Goiers Hack,apprentice,
Jan Van der Venne,master,
Jan De Daes,master,
Francois De Bois,apprentice,
Jan De Coster,master,
Peter Volckaert,master,
Jacques Philippe Offhuys,apprentice,
Philips Monnie,apprentice,
Philips [b] Sallaert,master,
Andries De Buck,apprentice,
Coenraet Geeraerts,master,
 Hubert,apprentice,
Jan Verheven,master,
Michiel Ringheler,apprentice,
Francois Speecaert,master,
Godfried Van Huynegen,apprentice,
Jan Merlin,master,
Cornelis Van Eeverenbroot,masters sons,
Michiel Huyez,master,
Hans Borremans,master,
Bartholomeus Knibbe,masters sons,
Syllyst Willem Herquyauor,master,
Ledorxen De Solyen,masters sons,
Geleyn Van Ganseuvyck,master,
Jan De Peuter,masters sons,
Albert Kalckruyter,master,
Jan De Willer,master,
Hercules Gerwits,master,
George Gerwits,master,
Hans De Sanmore,master,
Francois Van Orley,apprentice,
Antoon Nulaert,master,
Hendrick Wauwermans,apprentice,
Louis Le Crohair,master,
Francois Floris,master,
Baptist Floris,apprentice,
Lambert De Blondel,master,
Antoon Carpentier,apprentice,
Hans De Grieck,master,
Willem Baetemans,apprentice,
Abraham Greumens,master,
Jacques Galle,master,
Hendrick Finet,apprentice,
Jacques Pezet,master,
Nicolaes Van der Vinne,apprentice,
Maerten Laureys,master,
Willem Governeur,apprentice,
Gillis De Geldo,master,
Hendrick Engels,apprentice,
Nicolaes Van der Oost,master,
Johannes Thoomunaers,apprentice,
Thomas Le Post,master,
Andries Gotemans,apprentice,
